Site name: Boston ,,,,
Site latitude (deg): 52.9267 ,,,,
Site longitude (deg): -0.18293 ,,,,
Frequency (MHz): 449.425 ,,,,
Tx antenna height (m): 17 ,,,,
Adjusted e.i.r.p. (dBm): 40.6 ,,,,
Rx antenna height (m): 1.5 ,,,,
System noise floor (dBm): -122 ,,,,
Number of records: 68816 ,,,,
Date (dd.mm.yyyy), Time (hh:mm:ss), Rx Latitude (deg), Rx Longitude (deg), Local mean measurement (dBm) 
23.02.2018, 09:53:39,52.928156,-0.180665,-21.46
23.02.2018, 09:54:31,52.928458,-0.180695,-22.85
23.02.2018, 09:55:24,52.928611,-0.180732,-24.54
23.02.2018, 09:55:28,52.928836,-0.180775,-26.53
23.02.2018, 09:55:32,52.929076,-0.180851,-41.95
23.02.2018, 09:55:36,52.929309,-0.180873,-43.64
23.02.2018, 09:55:40,52.929533,-0.180802,-42.59
23.02.2018, 09:55:44,52.929755,-0.180761,-43.04
23.02.2018, 09:55:48,52.929992,-0.180712,-44.11
23.02.2018, 09:55:52,52.930213,-0.180629,-41.65
23.02.2018, 09:55:59,52.930491,-0.180531,-38.43
23.02.2018, 09:56:45,52.930577,-0.180217,-35.59
23.02.2018, 09:57:11,52.930546,-0.179961,-38.41
23.02.2018, 09:57:15,52.930469,-0.179611,-38.77
23.02.2018, 09:57:18,52.930393,-0.179233,-37.11
23.02.2018, 09:57:21,52.930334,-0.178854,-34.56
23.02.2018, 09:57:25,52.930305,-0.178478,-32.91
23.02.2018, 09:57:28,52.930325,-0.178076,-37.97
23.02.2018, 09:57:32,52.930367,-0.177691,-41.37
23.02.2018, 09:57:35,52.930416,-0.177318,-39.82
23.02.2018, 09:57:38,52.930461,-0.176925,-38.22
23.02.2018, 09:57:42,52.930515,-0.176559,-37.03
23.02.2018, 09:57:45,52.930618,-0.176206,-36.54
23.02.2018, 09:57:49,52.930765,-0.175896,-37.71
23.02.2018, 09:57:52,52.930833,-0.17557,-38.93
23.02.2018, 09:57:55,52.930785,-0.175223,-40.79
23.02.2018, 09:57:59,52.930696,-0.174861,-40.37
23.02.2018, 09:58:02,52.930609,-0.174508,-39.39
23.02.2018, 09:58:05,52.930529,-0.174148,-39.17
23.02.2018, 09:58:09,52.930486,-0.173764,-39.54
23.02.2018, 09:58:13,52.930502,-0.173374,-41.19
23.02.2018, 09:58:18,52.930575,-0.172946,-40.08
23.02.2018, 09:58:23,52.930592,-0.172581,-40.67
23.02.2018, 09:58:34,52.930481,-0.172107,-42
23.02.2018, 09:58:57,52.93043,-0.171909,-43
23.02.2018, 09:59:01,52.930423,-0.171537,-41.97
23.02.2018, 09:59:05,52.930437,-0.171193,-42.22
23.02.2018, 09:59:08,52.930445,-0.170794,-42.49
23.02.2018, 09:59:12,52.930438,-0.170407,-42.56
23.02.2018, 09:59:15,52.930426,-0.170046,-42.87
23.02.2018, 09:59:18,52.930412,-0.169651,-42.92
23.02.2018, 09:59:21,52.930381,-0.169258,-43.32
23.02.2018, 09:59:25,52.930348,-0.168893,-46.17
