Site name: Merthyr ,,,,
Site latitude (deg): 51.7575 ,,,,
Site longitude (deg): -3.4494 ,,,,
Frequency (MHz): 449.425 ,,,,
Tx antenna height (m): 17 ,,,,
Adjusted e.i.r.p. (dBm): 40.6 ,,,,
Rx antenna height (m): 1.5 ,,,,
System noise floor (dBm): -122 ,,,,
Number of records: 39055 ,,,,
Date (dd.mm.yyyy), Time (hh:mm:ss), Rx Latitude (deg), Rx Longitude (deg), Local mean measurement (dBm) 
25.09.2017, 15:00:02,51.756692,-3.449185,-22.57
25.09.2017, 15:00:08,51.756549,-3.449416,-21.96
25.09.2017, 15:00:14,51.756429,-3.449783,-22
25.09.2017, 15:00:20,51.756257,-3.449638,-27.91
25.09.2017, 15:00:24,51.756152,-3.44932,-33.56
25.09.2017, 15:00:27,51.75609,-3.448981,-34.71
25.09.2017, 15:00:30,51.756061,-3.448605,-39.52
25.09.2017, 15:00:33,51.75604,-3.448223,-42.82
25.09.2017, 15:00:36,51.756016,-3.447846,-40.33
25.09.2017, 15:00:39,51.755987,-3.447448,-42.63
25.09.2017, 15:00:41,51.755953,-3.447071,-44.58
25.09.2017, 15:00:44,51.755926,-3.446703,-45.93
25.09.2017, 15:00:47,51.755889,-3.446347,-47.57
25.09.2017, 15:00:49,51.755861,-3.445952,-49.6
25.09.2017, 15:00:52,51.755866,-3.445576,-54.93
25.09.2017, 15:00:55,51.755897,-3.445209,-58.09
25.09.2017, 15:00:58,51.755931,-3.444834,-57.57
25.09.2017, 15:01:01,51.755962,-3.444454,-59.49
25.09.2017, 15:01:05,51.755982,-3.444065,-60.71
25.09.2017, 15:01:09,51.755961,-3.443655,-58.93
25.09.2017, 15:01:15,51.755825,-3.443392,-58.37
25.09.2017, 15:01:28,51.75569,-3.443116,-60.31
25.09.2017, 15:01:35,51.755674,-3.442776,-58.94
25.09.2017, 15:01:38,51.755745,-3.442466,-61.29
25.09.2017, 15:01:40,51.755837,-3.442158,-64
25.09.2017, 15:01:42,51.755942,-3.441817,-59.46
25.09.2017, 15:01:45,51.756037,-3.441491,-59.72
25.09.2017, 15:01:47,51.756131,-3.441154,-61.04
25.09.2017, 15:01:49,51.756213,-3.4408,-58.57
25.09.2017, 15:01:51,51.756282,-3.440445,-58.38
25.09.2017, 15:01:53,51.756342,-3.44008,-58.28
25.09.2017, 15:01:55,51.756382,-3.439725,-57.84
25.09.2017, 15:01:56,51.75642,-3.439372,-61.17
25.09.2017, 15:01:58,51.756448,-3.439015,-64.21
25.09.2017, 15:02:00,51.756469,-3.438658,-62.35
25.09.2017, 15:02:02,51.756483,-3.438292,-61.66
25.09.2017, 15:02:03,51.756487,-3.437914,-61.87
25.09.2017, 15:02:05,51.756479,-3.437559,-61.79
25.09.2017, 15:02:07,51.756467,-3.43721,-62.79
25.09.2017, 15:02:08,51.756443,-3.436828,-64.72
25.09.2017, 15:02:10,51.756416,-3.436489,-63.44
25.09.2017, 15:02:11,51.756377,-3.43611,-65.75
25.09.2017, 15:02:13,51.75634,-3.435777,-65.48
25.09.2017, 15:02:14,51.756291,-3.435392,-65.79
25.09.2017, 15:02:16,51.756252,-3.435015,-66.79
