Site name: Nottingham ,,,,
Site latitude: 52.9863 ,,,,
Site longitude: -1.2559 ,,,,
Frequency (MHz): 449.425 ,,,,
Tx antenna height (m): 17 ,,,,
Tx amplifier power (dBm): 50.9 ,,,,
Tx cable loss (dB): 0.9 ,,,,
Tx antenna gain (dBi): 0.9 ,,,,
Tx eirp (dBm): 55.4 ,,,,
Rx antenna height (m): 1.5 ,,,,
Rx antenna gain (dBi): -8 ,,,,
Rx cable loss (dB): 0.2 ,,,,
Rx splitter loss (dB): 6.1 ,,,,
Rx LNA gain (dB): 0 ,,,,
Rx band pass filter loss (dB): 0.5 ,,,,
System gain (dB): -14.8 ,,,,
System noise floor (dBm): -122 ,,,,
Dynamic range (dB): 162.6 ,,,,
Averaging samples: 50 ,,,,
Averaging distance (m): 26.701 ,,,,
Date (dd.mm.yyy), Time (hh:mm:ss), Rx Latitude (deg), Rx Longitude (deg), Local mean measurement (dBm) 
15.02.2016, 12:55:58,52.9867,-1.256,-22.9
15.02.2016, 12:56:04,52.9869,-1.2559,-23.77
15.02.2016, 12:56:08,52.9871,-1.2556,-24.68
15.02.2016, 12:56:12,52.9873,-1.2554,-26.8
15.02.2016, 12:56:18,52.9875,-1.2551,-29.62
15.02.2016, 12:56:23,52.9876,-1.2547,-27.41
15.02.2016, 12:56:48,52.9877,-1.2544,-29.84
15.02.2016, 12:57:21,52.9879,-1.2544,-31.69
15.02.2016, 12:57:25,52.9881,-1.2545,-33.99
15.02.2016, 12:57:29,52.9883,-1.2546,-34.15
15.02.2016, 12:57:33,52.9886,-1.2547,-35.29
15.02.2016, 12:57:39,52.9888,-1.2547,-43.89
15.02.2016, 12:57:47,52.989,-1.2547,-46.85
15.02.2016, 12:57:52,52.9891,-1.2543,-48.44
15.02.2016, 12:57:57,52.9892,-1.254,-50.66
15.02.2016, 12:58:01,52.9895,-1.2539,-49.56
15.02.2016, 12:58:04,52.9897,-1.2539,-52.64
15.02.2016, 12:58:08,52.9899,-1.2539,-54.7
15.02.2016, 12:58:31,52.9902,-1.2541,-53.4
15.02.2016, 12:58:43,52.9904,-1.2542,-54.42
15.02.2016, 12:58:49,52.9906,-1.2543,-56.25
15.02.2016, 12:58:55,52.9908,-1.2544,-59.85
15.02.2016, 12:58:59,52.991,-1.2545,-64.68
15.02.2016, 12:59:02,52.9912,-1.2547,-64.25
15.02.2016, 12:59:04,52.9914,-1.2548,-63.82
15.02.2016, 12:59:07,52.9916,-1.2549,-66.11
15.02.2016, 12:59:09,52.9919,-1.255,-66.08
15.02.2016, 12:59:11,52.9921,-1.255,-68.35
15.02.2016, 12:59:14,52.9923,-1.2551,-69.41
15.02.2016, 12:59:16,52.9925,-1.2552,-70.76
15.02.2016, 12:59:18,52.9928,-1.2553,-72.06
15.02.2016, 12:59:20,52.993,-1.2554,-70.61
15.02.2016, 12:59:23,52.9932,-1.2555,-69.98
15.02.2016, 12:59:25,52.9934,-1.2556,-67.48
15.02.2016, 12:59:27,52.9937,-1.2557,-70.12
15.02.2016, 12:59:29,52.9939,-1.2558,-68.9
15.02.2016, 12:59:31,52.9941,-1.2559,-71.37
15.02.2016, 12:59:33,52.9943,-1.256,-71.96
15.02.2016, 12:59:35,52.9946,-1.2561,-72.84
15.02.2016, 12:59:39,52.9948,-1.2562,-70.22
15.02.2016, 12:59:42,52.995,-1.2563,-73.48
15.02.2016, 12:59:45,52.9952,-1.2565,-72.31
15.02.2016, 12:59:48,52.9955,-1.2568,-77.26
15.02.2016, 12:59:53,52.9957,-1.2571,-80.35
15.02.2016, 12:59:57,52.9958,-1.2568,-83.53
15.02.2016, 13:00:01,52.996,-1.2566,-79.92
15.02.2016, 13:00:06,52.9962,-1.2563,-78.84
15.02.2016, 13:00:12,52.9964,-1.256,-77.89
15.02.2016, 13:00:22,52.9966,-1.2557,-78.33
15.02.2016, 13:01:13,52.9967,-1.2555,-81.01
15.02.2016, 13:01:22,52.9969,-1.2552,-79.2
15.02.2016, 13:01:30,52.9969,-1.255,-85.06
15.02.2016, 13:01:33,52.9969,-1.2547,-87
15.02.2016, 13:01:35,52.9968,-1.2544,-87.06
15.02.2016, 13:01:37,52.9967,-1.254,-82.99
15.02.2016, 13:01:40,52.9966,-1.2536,-80.05
15.02.2016, 13:01:44,52.9965,-1.2532,-83.35
15.02.2016, 13:01:46,52.9964,-1.2529,-80.75
15.02.2016, 13:01:49,52.9963,-1.2526,-84.07
15.02.2016, 13:01:51,52.9961,-1.2523,-83.19
15.02.2016, 13:01:53,52.996,-1.252,-81.86
15.02.2016, 13:01:55,52.9958,-1.2517,-80.86
15.02.2016, 13:01:57,52.9957,-1.2514,-80.44
15.02.2016, 13:01:59,52.9956,-1.2511,-78.5
15.02.2016, 13:02:01,52.9955,-1.2507,-78.17
15.02.2016, 13:02:03,52.9954,-1.2503,-76.85
15.02.2016, 13:02:06,52.9953,-1.25,-81.41
15.02.2016, 13:02:08,52.9952,-1.2497,-81.97
15.02.2016, 13:02:10,52.995,-1.2494,-80.95
15.02.2016, 13:02:12,52.9949,-1.2491,-78.07
15.02.2016, 13:02:14,52.9947,-1.2488,-75.64
15.02.2016, 13:02:16,52.9946,-1.2485,-73.05
15.02.2016, 13:02:19,52.9944,-1.2482,-74.1
15.02.2016, 13:02:21,52.9943,-1.2479,-75.07
15.02.2016, 13:02:22,52.9942,-1.2476,-74.24
15.02.2016, 13:02:24,52.9941,-1.2472,-71.04
15.02.2016, 13:02:26,52.9941,-1.2468,-69.58
15.02.2016, 13:02:28,52.9941,-1.2464,-68.45
15.02.2016, 13:02:30,52.9942,-1.2461,-68.3
15.02.2016, 13:02:32,52.9942,-1.2457,-69.68
15.02.2016, 13:02:34,52.9942,-1.2453,-66.69
15.02.2016, 13:02:36,52.9942,-1.2449,-68.56
15.02.2016, 13:02:38,52.9942,-1.2445,-66.42
15.02.2016, 13:02:40,52.9943,-1.2442,-69.04
15.02.2016, 13:02:41,52.9943,-1.2438,-65.8
15.02.2016, 13:02:43,52.9943,-1.2434,-68.26
15.02.2016, 13:02:45,52.9943,-1.243,-70.8
15.02.2016, 13:02:47,52.9943,-1.2426,-71.97
15.02.2016, 13:02:49,52.9944,-1.2422,-70.57
15.02.2016, 13:02:51,52.9944,-1.2418,-74.26
15.02.2016, 13:02:53,52.9944,-1.2415,-72.77
15.02.2016, 13:02:55,52.9944,-1.2411,-70.49
15.02.2016, 13:02:57,52.9945,-1.2407,-73.45
15.02.2016, 13:02:59,52.9945,-1.2403,-72.46
15.02.2016, 13:03:01,52.9945,-1.2399,-72.67
15.02.2016, 13:03:03,52.9946,-1.2395,-72.28
15.02.2016, 13:03:05,52.9946,-1.2392,-73.76
15.02.2016, 13:03:07,52.9947,-1.2388,-74.32
15.02.2016, 13:03:09,52.9948,-1.2384,-76.55
15.02.2016, 13:03:11,52.9948,-1.2381,-77.36
15.02.2016, 13:03:13,52.9949,-1.2377,-77.81
15.02.2016, 13:03:15,52.9949,-1.2373,-80.12
15.02.2016, 13:03:17,52.995,-1.2369,-75.77
15.02.2016, 13:03:19,52.995,-1.2366,-71.14
15.02.2016, 13:03:22,52.995,-1.2362,-74.01
15.02.2016, 13:03:24,52.995,-1.2358,-76.86
15.02.2016, 13:03:26,52.995,-1.2354,-76.41
15.02.2016, 13:03:28,52.9949,-1.235,-76.45
15.02.2016, 13:03:30,52.9949,-1.2346,-78.7
15.02.2016, 13:03:33,52.995,-1.2342,-79.75
15.02.2016, 13:03:35,52.9951,-1.2339,-78.03
15.02.2016, 13:03:37,52.9952,-1.2336,-78.91
15.02.2016, 13:03:39,52.9953,-1.2332,-77.49
15.02.2016, 13:03:41,52.9954,-1.2328,-79.86
15.02.2016, 13:03:43,52.9954,-1.2325,-80.88
15.02.2016, 13:03:45,52.9954,-1.2321,-81.79
15.02.2016, 13:03:47,52.9954,-1.2318,-84.15
15.02.2016, 13:03:49,52.9953,-1.2314,-86.38
15.02.2016, 13:03:51,52.9952,-1.2311,-90.68
15.02.2016, 13:03:52,52.9951,-1.2307,-86.94
15.02.2016, 13:03:54,52.995,-1.2303,-85.03
15.02.2016, 13:03:56,52.995,-1.23,-82.81
15.02.2016, 13:03:58,52.9949,-1.2296,-84.74
15.02.2016, 13:03:59,52.9947,-1.2293,-84.06
15.02.2016, 13:04:01,52.9946,-1.229,-81.79
15.02.2016, 13:04:03,52.9944,-1.2288,-79.94
15.02.2016, 13:04:05,52.9942,-1.2286,-80.43
15.02.2016, 13:04:07,52.994,-1.2283,-77.95
15.02.2016, 13:04:09,52.9938,-1.2281,-79.04
15.02.2016, 13:04:11,52.9937,-1.2278,-79.07
15.02.2016, 13:04:13,52.9935,-1.2275,-78.46
15.02.2016, 13:04:15,52.9933,-1.2272,-78.77
15.02.2016, 13:04:16,52.9932,-1.2269,-77.03
15.02.2016, 13:04:18,52.993,-1.2267,-76.76
15.02.2016, 13:04:20,52.9928,-1.2264,-75.78
15.02.2016, 13:04:22,52.9927,-1.2261,-74.83
15.02.2016, 13:04:24,52.9925,-1.2259,-73.83
15.02.2016, 13:04:26,52.9923,-1.2256,-74.81
15.02.2016, 13:04:28,52.9921,-1.2254,-75.56
15.02.2016, 13:04:30,52.992,-1.2252,-72.92
15.02.2016, 13:04:32,52.9918,-1.225,-74.19
15.02.2016, 13:04:34,52.9916,-1.2247,-78.18
15.02.2016, 13:04:36,52.9914,-1.2244,-79.02
15.02.2016, 13:04:40,52.9912,-1.2242,-81.23
15.02.2016, 13:05:04,52.991,-1.2239,-80.26
15.02.2016, 13:05:12,52.9909,-1.2236,-76.64
15.02.2016, 13:05:15,52.9908,-1.2233,-81.7
