Site name: Scar Hill ,,,,
Site latitude (deg): 57.1887 ,,,,
Site longitude (deg): -2.8547 ,,,,
Frequency (MHz): 449.425 ,,,,
Tx antenna height (m): 17 ,,,,
Adjusted e.i.r.p. (dBm): 40.6 ,,,,
Rx antenna height (m): 1.5 ,,,,
System noise floor (dBm): -122 ,,,,
Number of records: 70414 ,,,,
Date (dd.mm.yyyy), Time (hh:mm:ss), Rx Latitude (deg), Rx Longitude (deg), Local mean measurement (dBm) 
08.09.2018, 10:01:15,57.185917,-2.861444,-34.76
08.09.2018, 10:01:20,57.185975,-2.861063,-36.17
08.09.2018, 10:01:24,57.18604,-2.860645,-36.32
08.09.2018, 10:01:28,57.186111,-2.860219,-33.53
08.09.2018, 10:01:31,57.186208,-2.859861,-32.9
08.09.2018, 10:01:34,57.18632,-2.859468,-33.87
08.09.2018, 10:01:38,57.1864,-2.859077,-33.64
08.09.2018, 10:01:41,57.186447,-2.85867,-33.07
08.09.2018, 10:01:44,57.186504,-2.858243,-31.23
08.09.2018, 10:01:47,57.186567,-2.857821,-30.73
08.09.2018, 10:01:50,57.186639,-2.857411,-29.18
08.09.2018, 10:01:53,57.18669,-2.857007,-27.31
08.09.2018, 10:01:56,57.186733,-2.856575,-26.13
08.09.2018, 10:01:59,57.186745,-2.856152,-27.69
08.09.2018, 10:02:02,57.186737,-2.85573,-29.55
08.09.2018, 10:02:05,57.186733,-2.855306,-29.11
08.09.2018, 10:02:08,57.186727,-2.854864,-29.33
08.09.2018, 10:02:11,57.186701,-2.85445,-26.8
08.09.2018, 10:02:14,57.186648,-2.854045,-27.4
08.09.2018, 10:02:17,57.186599,-2.853602,-27.22
08.09.2018, 10:02:21,57.186557,-2.853196,-28.67
08.09.2018, 10:02:24,57.186505,-2.852751,-31.24
08.09.2018, 10:02:29,57.186439,-2.852315,-30.58
08.09.2018, 10:02:33,57.186385,-2.851932,-32.45
08.09.2018, 10:02:36,57.18633,-2.85152,-32.35
08.09.2018, 10:02:41,57.186303,-2.851084,-33.74
08.09.2018, 10:02:45,57.18627,-2.850639,-35.7
08.09.2018, 10:02:50,57.186237,-2.85022,-39.39
08.09.2018, 10:02:54,57.186227,-2.849791,-43.01
08.09.2018, 10:02:59,57.186213,-2.849344,-44.56
08.09.2018, 10:03:05,57.186175,-2.848932,-44.97
08.09.2018, 10:03:11,57.186093,-2.848547,-44.8
08.09.2018, 10:03:18,57.185959,-2.84822,-40.07
08.09.2018, 10:03:23,57.185902,-2.848541,-41.68
08.09.2018, 10:03:28,57.185878,-2.849012,-44.82
08.09.2018, 10:03:32,57.185745,-2.849332,-38.25
08.09.2018, 10:03:36,57.185511,-2.84936,-38.81
08.09.2018, 10:03:40,57.185339,-2.849094,-35.6
08.09.2018, 10:03:44,57.185188,-2.848797,-36.19
08.09.2018, 10:03:47,57.185007,-2.848546,-38.01
08.09.2018, 10:03:50,57.184813,-2.848312,-42.79
08.09.2018, 10:03:53,57.184613,-2.848064,-44.43
08.09.2018, 10:03:57,57.184426,-2.847782,-46.79
08.09.2018, 10:04:00,57.184238,-2.847548,-52.9
08.09.2018, 10:04:03,57.184024,-2.847385,-53.94
08.09.2018, 10:04:06,57.183807,-2.847266,-55.37
08.09.2018, 10:04:10,57.183588,-2.847122,-56.86
08.09.2018, 10:04:13,57.183378,-2.846952,-59.02
08.09.2018, 10:04:16,57.183177,-2.84678,-56.89
08.09.2018, 10:04:19,57.182965,-2.846659,-61.9
08.09.2018, 10:04:22,57.182723,-2.846588,-61.52
08.09.2018, 10:04:25,57.182496,-2.84654,-60.1
08.09.2018, 10:04:28,57.182267,-2.846522,-61.46
08.09.2018, 10:04:32,57.182051,-2.846544,-64.61
08.09.2018, 10:04:35,57.18183,-2.846619,-67.23
08.09.2018, 10:04:38,57.181618,-2.846764,-67.22
08.09.2018, 10:04:42,57.181405,-2.846988,-66.34
08.09.2018, 10:04:45,57.181243,-2.847277,-66.92
08.09.2018, 10:04:48,57.181081,-2.847574,-68.91
08.09.2018, 10:04:51,57.180892,-2.847827,-69.25
08.09.2018, 10:04:54,57.18069,-2.848005,-67.71
08.09.2018, 10:04:57,57.180477,-2.848133,-68.05
08.09.2018, 10:05:00,57.180259,-2.848274,-68.86
08.09.2018, 10:05:03,57.180046,-2.848449,-69.84
08.09.2018, 10:05:06,57.179853,-2.848665,-70.43
08.09.2018, 10:05:08,57.179663,-2.848899,-72.67
08.09.2018, 10:05:11,57.179468,-2.8491,-75.27
08.09.2018, 10:05:14,57.179237,-2.849292,-75.7
08.09.2018, 10:05:18,57.179018,-2.849431,-77.18
08.09.2018, 10:05:21,57.178769,-2.849542,-78.5
08.09.2018, 10:05:26,57.178548,-2.849374,-80.66
08.09.2018, 10:05:30,57.178555,-2.848924,-79.95
08.09.2018, 10:05:34,57.1787,-2.848575,-77.58
08.09.2018, 10:05:38,57.178752,-2.848183,-76.83
08.09.2018, 10:05:41,57.178784,-2.847772,-74.36
08.09.2018, 10:05:44,57.178817,-2.847367,-71.56
08.09.2018, 10:05:47,57.178855,-2.846932,-70.55
08.09.2018, 10:05:50,57.178882,-2.846491,-68.5
08.09.2018, 10:05:54,57.178855,-2.846092,-64.48
08.09.2018, 10:05:57,57.178795,-2.845702,-63.76
08.09.2018, 10:06:00,57.178712,-2.845306,-61.06
08.09.2018, 10:06:03,57.178585,-2.844954,-60.85
08.09.2018, 10:06:07,57.17844,-2.844634,-56.72
08.09.2018, 10:06:10,57.178297,-2.844298,-57.21
08.09.2018, 10:06:13,57.178241,-2.843896,-57.77
08.09.2018, 10:06:16,57.178202,-2.84349,-55.19
08.09.2018, 10:06:19,57.178128,-2.843088,-53.71
08.09.2018, 10:06:22,57.178031,-2.842692,-52.09
08.09.2018, 10:06:25,57.177928,-2.842297,-52.6
08.09.2018, 10:06:28,57.1778,-2.841936,-52.97
08.09.2018, 10:06:32,57.177645,-2.841647,-50.4
08.09.2018, 10:06:35,57.177462,-2.841436,-48.42
08.09.2018, 10:06:38,57.177283,-2.84121,-46.55
08.09.2018, 10:06:40,57.177101,-2.840928,-51.2
08.09.2018, 10:06:43,57.176923,-2.840628,-51.4
08.09.2018, 10:06:46,57.176749,-2.840349,-50.53
08.09.2018, 10:06:49,57.176562,-2.840103,-49.32
08.09.2018, 10:06:53,57.176356,-2.839897,-48.56
08.09.2018, 10:06:56,57.17615,-2.839681,-47.41
08.09.2018, 10:07:01,57.175949,-2.839426,-47.57
08.09.2018, 10:07:06,57.175746,-2.839215,-47.44
08.09.2018, 10:07:11,57.175547,-2.839027,-48.15
08.09.2018, 10:07:16,57.175346,-2.83881,-47.52
08.09.2018, 10:07:21,57.175147,-2.838635,-49.12
08.09.2018, 10:07:26,57.174945,-2.838513,-49.57
08.09.2018, 10:07:30,57.174697,-2.838475,-54.07
08.09.2018, 10:07:35,57.174483,-2.83838,-54.28
08.09.2018, 10:07:39,57.174329,-2.838055,-52.54
08.09.2018, 10:07:44,57.174261,-2.837631,-57.74
08.09.2018, 10:07:49,57.174243,-2.837212,-58.62
08.09.2018, 10:07:53,57.174255,-2.836777,-59.16
08.09.2018, 10:07:57,57.174277,-2.836328,-58.71
08.09.2018, 10:08:03,57.174319,-2.83588,-59.27
08.09.2018, 10:08:08,57.174343,-2.83551,-55.31
08.09.2018, 10:08:12,57.174375,-2.835091,-55.41
08.09.2018, 10:08:16,57.174464,-2.83469,-53.06
08.09.2018, 10:08:21,57.174617,-2.834313,-52.16
08.09.2018, 10:08:24,57.174746,-2.833965,-50.89
08.09.2018, 10:08:28,57.174889,-2.833649,-52.81
08.09.2018, 10:08:31,57.175067,-2.833333,-52.18
08.09.2018, 10:08:35,57.175272,-2.833092,-52.04
08.09.2018, 10:08:38,57.175458,-2.832885,-51.53
08.09.2018, 10:08:42,57.17564,-2.832675,-51.33
08.09.2018, 10:08:45,57.175827,-2.832455,-49.69
08.09.2018, 10:08:48,57.17602,-2.832217,-49.68
08.09.2018, 10:08:51,57.176197,-2.831974,-49.18
08.09.2018, 10:08:53,57.176381,-2.831718,-48.63
08.09.2018, 10:08:56,57.176543,-2.831422,-47.79
08.09.2018, 10:09:00,57.176672,-2.831069,-48.46
08.09.2018, 10:09:03,57.176767,-2.830693,-53.76
08.09.2018, 10:09:06,57.176835,-2.830277,-54.07
08.09.2018, 10:09:10,57.176846,-2.829845,-53.92
08.09.2018, 10:09:14,57.176805,-2.829412,-56.95
08.09.2018, 10:09:18,57.176717,-2.829007,-58.65
08.09.2018, 10:09:21,57.176557,-2.828683,-57.08
08.09.2018, 10:09:26,57.17638,-2.828417,-61.06
08.09.2018, 10:09:30,57.176179,-2.828202,-63.14
08.09.2018, 10:09:34,57.17598,-2.828022,-65.5
08.09.2018, 10:09:38,57.175776,-2.827833,-68.02
08.09.2018, 10:09:41,57.17558,-2.827639,-66.36
08.09.2018, 10:09:44,57.175378,-2.827435,-67.95
08.09.2018, 10:09:47,57.175161,-2.827295,-71.57
08.09.2018, 10:09:51,57.17494,-2.827213,-74.05
08.09.2018, 10:09:55,57.174685,-2.82721,-72.92
08.09.2018, 10:09:59,57.174467,-2.827178,-71.57
08.09.2018, 10:10:02,57.17425,-2.827079,-74.96
08.09.2018, 10:10:06,57.174031,-2.827003,-76.41
08.09.2018, 10:10:09,57.173802,-2.826991,-74.36
08.09.2018, 10:10:13,57.173578,-2.826948,-73.53
08.09.2018, 10:10:16,57.173351,-2.826811,-73.71
08.09.2018, 10:10:20,57.173142,-2.826664,-71.96
08.09.2018, 10:10:23,57.172926,-2.826501,-74.23
08.09.2018, 10:10:27,57.172718,-2.826283,-73.67
08.09.2018, 10:10:31,57.172514,-2.826065,-72.71
08.09.2018, 10:10:35,57.172302,-2.825884,-74.45
08.09.2018, 10:10:38,57.172118,-2.825658,-74.28
08.09.2018, 10:10:42,57.171951,-2.825395,-75.38
08.09.2018, 10:10:45,57.171776,-2.825115,-72.57
08.09.2018, 10:10:48,57.171599,-2.824821,-74.71
08.09.2018, 10:10:51,57.171416,-2.824518,-76.15
08.09.2018, 10:10:55,57.171252,-2.824255,-74.79
08.09.2018, 10:10:59,57.171063,-2.824023,-73.39
08.09.2018, 10:11:02,57.170858,-2.823867,-79.26
08.09.2018, 10:11:06,57.17063,-2.823807,-82.45
08.09.2018, 10:11:10,57.170403,-2.823748,-80.18
08.09.2018, 10:11:14,57.170168,-2.823648,-83.66
08.09.2018, 10:11:18,57.169943,-2.82351,-84.24
08.09.2018, 10:11:23,57.169727,-2.82339,-84.58
08.09.2018, 10:11:26,57.169524,-2.823306,-85.31
08.09.2018, 10:11:29,57.169304,-2.823258,-85.19
08.09.2018, 10:11:32,57.169074,-2.823245,-85.87
08.09.2018, 10:11:36,57.168836,-2.823273,-87.71
08.09.2018, 10:11:39,57.168623,-2.823282,-90.15
08.09.2018, 10:11:42,57.168413,-2.823307,-92.81
08.09.2018, 10:11:45,57.168185,-2.823402,-94.65
08.09.2018, 10:11:48,57.167954,-2.823582,-96.27
08.09.2018, 10:11:51,57.167749,-2.823745,-95.93
08.09.2018, 10:11:54,57.167534,-2.823903,-96.52
08.09.2018, 10:11:56,57.16733,-2.824078,-95.47
08.09.2018, 10:11:59,57.167109,-2.824237,-95.19
08.09.2018, 10:12:02,57.166881,-2.8244,-97.34
08.09.2018, 10:12:06,57.166674,-2.824631,-95.5
08.09.2018, 10:12:11,57.166458,-2.824763,-95.72
08.09.2018, 10:12:15,57.166354,-2.824441,-95.31
08.09.2018, 10:12:18,57.166388,-2.824021,-98.08
08.09.2018, 10:12:22,57.166454,-2.823607,-95.85
08.09.2018, 10:12:25,57.16652,-2.823202,-95.72
08.09.2018, 10:12:27,57.166585,-2.822819,-96.47
08.09.2018, 10:12:30,57.166657,-2.822398,-96.95
08.09.2018, 10:12:33,57.166728,-2.821984,-97.54
08.09.2018, 10:12:36,57.166783,-2.821562,-94.76
08.09.2018, 10:12:39,57.166766,-2.821148,-94.69
08.09.2018, 10:12:42,57.166696,-2.820778,-94.61
08.09.2018, 10:12:44,57.1666,-2.820393,-95.39
08.09.2018, 10:12:47,57.166497,-2.82003,-95.57
08.09.2018, 10:12:49,57.166397,-2.819661,-94.71
08.09.2018, 10:12:51,57.166318,-2.819214,-95.97
