Site name: Southampton ,,,,
Site latitude: 50.9464 ,,,,
Site longitude: -1.3101 ,,,,
Frequency (MHz): 449.425 ,,,,
Tx antenna height (m): 17 ,,,,
Tx amplifier power (dBm): 52 ,,,,
Tx cable loss (dB): 0.9 ,,,,
Tx antenna gain (dBi): 0.9 ,,,,
Tx eirp (dBm): 50.1 ,,,,
Rx antenna height (m): 1.5 ,,,,
Rx antenna gain (dBi): -8 ,,,,
Rx cable loss (dB): 0.2 ,,,,
Rx splitter loss (dB): 6.1 ,,,,
Rx LNA gain (dB): 0 ,,,,
Rx band pass filter loss (dB): 0 ,,,,
System gain (dB): -14.3 ,,,,
System noise floor (dBm): -122 ,,,,
Dynamic range (dB): 157.8 ,,,,
Averaging samples: 50 ,,,,
Averaging distance (m): 26.701 ,,,,
Date (dd.mm.yyy), Time (hh:mm:ss), Rx Latitude (deg), Rx Longitude (deg), Local mean measurement (dBm) 
17.10.2016, 15:07:40,50.9467,-1.3093,-29.45
17.10.2016, 15:07:48,50.9467,-1.309,-28.15
17.10.2016, 15:07:54,50.9467,-1.3087,-28.95
17.10.2016, 15:08:00,50.9465,-1.3083,-32.3
17.10.2016, 15:08:06,50.9464,-1.308,-37.87
17.10.2016, 15:08:09,50.9463,-1.3077,-39.85
17.10.2016, 15:08:13,50.9462,-1.3074,-40.61
17.10.2016, 15:08:17,50.9461,-1.3071,-40.72
17.10.2016, 15:08:21,50.946,-1.3067,-40.33
17.10.2016, 15:08:24,50.9459,-1.3064,-41.38
17.10.2016, 15:08:27,50.9458,-1.3061,-42.99
17.10.2016, 15:08:31,50.9457,-1.3057,-43.22
17.10.2016, 15:08:34,50.9456,-1.3054,-45.07
17.10.2016, 15:08:37,50.9455,-1.305,-42.94
17.10.2016, 15:08:42,50.9455,-1.3047,-42.64
17.10.2016, 15:08:48,50.9454,-1.3043,-43.22
17.10.2016, 15:09:06,50.9453,-1.304,-44.27
17.10.2016, 15:09:10,50.9452,-1.3037,-43.85
17.10.2016, 15:09:13,50.9451,-1.3034,-43.45
17.10.2016, 15:09:16,50.9451,-1.303,-43.16
17.10.2016, 15:09:19,50.945,-1.3027,-43.66
17.10.2016, 15:09:22,50.9449,-1.3023,-43.68
17.10.2016, 15:09:25,50.9448,-1.302,-44.37
17.10.2016, 15:09:33,50.9447,-1.3016,-45.69
17.10.2016, 15:09:39,50.9445,-1.3016,-43.39
17.10.2016, 15:09:43,50.9443,-1.3018,-41.77
17.10.2016, 15:09:48,50.9441,-1.3015,-46.58
17.10.2016, 15:09:53,50.9441,-1.3012,-52.5
17.10.2016, 15:09:56,50.944,-1.3009,-55.39
17.10.2016, 15:09:59,50.9439,-1.3005,-54.53
17.10.2016, 15:10:01,50.9439,-1.3002,-58.49
17.10.2016, 15:10:04,50.9438,-1.2998,-57.79
17.10.2016, 15:10:06,50.9438,-1.2994,-57.77
17.10.2016, 15:10:09,50.9437,-1.2991,-60.21
17.10.2016, 15:10:12,50.9437,-1.2987,-65.92
17.10.2016, 15:10:14,50.9436,-1.2984,-68.11
17.10.2016, 15:10:17,50.9436,-1.298,-71.87
17.10.2016, 15:10:19,50.9435,-1.2977,-69.73
17.10.2016, 15:10:23,50.9434,-1.2973,-71.83
17.10.2016, 15:10:26,50.9435,-1.2969,-68.88
17.10.2016, 15:10:30,50.9436,-1.2967,-71.04
17.10.2016, 15:10:32,50.9438,-1.2965,-70.49
17.10.2016, 15:10:35,50.944,-1.2962,-69.6
17.10.2016, 15:10:38,50.9442,-1.296,-68.45
17.10.2016, 15:10:41,50.9443,-1.2957,-69.87
17.10.2016, 15:10:44,50.9445,-1.2954,-70.61
