Site name: Stevenage ,,,,
Site latitude: 51.8886 ,,,,
Site longitude: -0.25516 ,,,,
Frequency (MHz): 449.425 ,,,,
Tx antenna height (m): 17 ,,,,
Tx amplifier power (dBm): 50.6 ,,,,
Tx cable loss (dB): 0.9 ,,,,
Tx antenna gain (dBi): 0.9 ,,,,
Tx eirp (dBm): 55.1 ,,,,
Rx antenna height (m): 1.5 ,,,,
Rx antenna gain (dBi): -8 ,,,,
Rx cable loss (dB): 0.2 ,,,,
Rx splitter loss (dB): 6.1 ,,,,
Rx LNA gain (dB): 0 ,,,,
Rx band pass filter loss (dB): 0.5 ,,,,
System gain (dB): -14.8 ,,,,
System noise floor (dBm): -122 ,,,,
Dynamic range (dB): 162.3 ,,,,
Averaging samples: 50 ,,,,
Averaging distance (m): 26.701 ,,,,
Date (dd.mm.yyy), Time (hh:mm:ss), Rx Latitude (deg), Rx Longitude (deg), Local mean measurement (dBm) 
08.12.2015, 12:47:29,51.8886,-0.2556,-25.9
08.12.2015, 12:47:38,51.8887,-0.2558,-28.11
08.12.2015, 12:47:42,51.889,-0.2557,-30.95
08.12.2015, 12:47:48,51.889,-0.2554,-26.26
08.12.2015, 12:47:51,51.8889,-0.2551,-27.18
08.12.2015, 12:47:55,51.8887,-0.2548,-23.41
08.12.2015, 12:47:58,51.8888,-0.2545,-28.95
08.12.2015, 12:48:01,51.889,-0.2543,-29.81
08.12.2015, 12:48:03,51.8891,-0.2541,-30.93
08.12.2015, 12:48:05,51.8893,-0.2538,-32.02
08.12.2015, 12:48:07,51.8895,-0.2536,-34.53
08.12.2015, 12:48:09,51.8897,-0.2534,-35.38
08.12.2015, 12:48:12,51.8899,-0.2532,-36.71
08.12.2015, 12:48:14,51.8901,-0.2529,-37.52
08.12.2015, 12:48:16,51.8902,-0.2527,-38.79
08.12.2015, 12:48:18,51.8904,-0.2525,-40.54
08.12.2015, 12:48:20,51.8906,-0.2523,-42.78
08.12.2015, 12:48:22,51.8908,-0.2521,-44.06
08.12.2015, 12:48:24,51.891,-0.2519,-43.56
08.12.2015, 12:48:26,51.8912,-0.2516,-43.6
08.12.2015, 12:48:28,51.8914,-0.2514,-44.39
08.12.2015, 12:48:30,51.8915,-0.2511,-43.87
08.12.2015, 12:48:33,51.8917,-0.2507,-41.23
08.12.2015, 12:48:38,51.8919,-0.2506,-44.82
08.12.2015, 12:48:42,51.892,-0.2509,-43.45
08.12.2015, 12:48:44,51.8921,-0.2512,-42.09
08.12.2015, 12:48:47,51.8922,-0.2514,-42.79
08.12.2015, 12:48:49,51.8924,-0.2517,-46.58
08.12.2015, 12:48:51,51.8925,-0.252,-46.18
08.12.2015, 12:48:54,51.8927,-0.2523,-48.38
08.12.2015, 12:48:56,51.8929,-0.2526,-44.39
08.12.2015, 12:48:58,51.8931,-0.2528,-41.24
08.12.2015, 12:49:00,51.8933,-0.253,-39.31
08.12.2015, 12:49:02,51.8935,-0.2532,-39.01
08.12.2015, 12:49:04,51.8937,-0.2534,-40.02
08.12.2015, 12:49:06,51.8939,-0.2536,-42.62
08.12.2015, 12:49:08,51.8941,-0.2538,-46.45
