Site name: London ,,,,
Site latitude: 51.5305 ,,,,
Site longitude: -0.13399 ,,,,
Frequency (MHz): 915.95 ,,,,
Tx antenna height (m): 25 ,,,,
Tx amplifier power (dBm): 50.3 ,,,,
Tx cable loss (dB): 1.3 ,,,,
Tx antenna gain (dBi): 1.3 ,,,,
Tx eirp (dBm): 56 ,,,,
Rx antenna height (m): 1.5 ,,,,
Rx antenna gain (dBi): -1 ,,,,
Rx cable loss (dB): 0.2 ,,,,
Rx splitter loss (dB): 6.1 ,,,,
Rx LNA gain (dB): 0 ,,,,
Rx band pass filter loss (dB): 0.5 ,,,,
System gain (dB): -7.8 ,,,,
System noise floor (dBm): -124 ,,,,
Dynamic range (dB): 172.2 ,,,,
Averaging samples: 50 ,,,,
Averaging distance (m): 13.101 ,,,,
Date (dd.mm.yyy), Time (hh:mm:ss), Rx Latitude (deg), Rx Longitude (deg), Local mean measurement (dBm) 
27.03.2017, 10:43:09,51.5304,-0.1349,-29.77
27.03.2017, 10:43:15,51.5304,-0.1351,-29.68
27.03.2017, 10:43:21,51.5303,-0.1351,-42.03
27.03.2017, 10:43:25,51.5302,-0.1351,-43
27.03.2017, 10:43:28,51.5302,-0.1352,-43.01
27.03.2017, 10:43:32,51.5302,-0.1353,-42.05
27.03.2017, 10:43:35,51.5301,-0.1354,-40.44
27.03.2017, 10:43:38,51.5301,-0.1354,-40.62
27.03.2017, 10:43:41,51.5301,-0.1355,-41.39
27.03.2017, 10:43:44,51.5301,-0.1355,-42.91
27.03.2017, 10:43:46,51.5301,-0.1356,-44.16
27.03.2017, 10:43:49,51.53,-0.1356,-42.02
27.03.2017, 10:43:52,51.53,-0.1357,-43.52
27.03.2017, 10:43:56,51.53,-0.1359,-38.99
27.03.2017, 10:44:00,51.5298,-0.1365,-42.41
27.03.2017, 10:44:02,51.5298,-0.1369,-45.03
27.03.2017, 10:44:05,51.5298,-0.1371,-44.52
27.03.2017, 10:44:09,51.5299,-0.1372,-45.5
27.03.2017, 10:44:14,51.5299,-0.1375,-46.85
27.03.2017, 10:44:30,51.5297,-0.1375,-48.47
27.03.2017, 10:44:41,51.5296,-0.1375,-50.03
27.03.2017, 10:44:50,51.5295,-0.1375,-50.2
27.03.2017, 10:44:57,51.5294,-0.1375,-47.54
27.03.2017, 10:44:59,51.5293,-0.1376,-49.66
27.03.2017, 10:45:02,51.5293,-0.1377,-50.84
27.03.2017, 10:45:04,51.5292,-0.1379,-45.07
27.03.2017, 10:45:06,51.5291,-0.1381,-46.94
27.03.2017, 10:45:19,51.529,-0.1383,-49.56
27.03.2017, 10:45:57,51.529,-0.1384,-49.87
27.03.2017, 10:46:01,51.529,-0.1386,-48.49
27.03.2017, 10:46:04,51.5291,-0.1387,-45.9
27.03.2017, 10:46:07,51.5292,-0.1387,-50.03
27.03.2017, 10:46:10,51.5293,-0.1388,-53.18
27.03.2017, 10:46:14,51.5293,-0.139,-54.88
27.03.2017, 10:46:23,51.5293,-0.1392,-54.58
27.03.2017, 10:46:32,51.5293,-0.1393,-52.9
27.03.2017, 10:46:35,51.5292,-0.1395,-55.85
27.03.2017, 10:46:37,51.5292,-0.1397,-50.54
27.03.2017, 10:46:39,51.5292,-0.1399,-49.29
27.03.2017, 10:46:42,51.5292,-0.1401,-46.66
27.03.2017, 10:46:45,51.5293,-0.1403,-48.87
27.03.2017, 10:46:47,51.5293,-0.1405,-49.62
27.03.2017, 10:46:51,51.5293,-0.1407,-45.66
27.03.2017, 10:46:55,51.5293,-0.1408,-46.65
27.03.2017, 10:46:57,51.5293,-0.141,-46.48
27.03.2017, 10:47:00,51.5293,-0.1412,-46.23
27.03.2017, 10:47:03,51.5293,-0.1414,-48.78
27.03.2017, 10:47:08,51.5293,-0.1416,-49.49
27.03.2017, 10:47:12,51.5294,-0.1416,-57.84
27.03.2017, 10:47:15,51.5295,-0.1417,-55.55
27.03.2017, 10:47:17,51.5295,-0.1417,-54.28
27.03.2017, 10:47:20,51.5296,-0.1418,-54.59
27.03.2017, 10:47:22,51.5297,-0.1418,-54.25
27.03.2017, 10:47:24,51.5299,-0.1417,-54.43
27.03.2017, 10:47:28,51.53,-0.1416,-52.65
27.03.2017, 10:47:30,51.5301,-0.1415,-55.22
27.03.2017, 10:47:33,51.5302,-0.1416,-55.57
27.03.2017, 10:47:35,51.5304,-0.1416,-55.68
27.03.2017, 10:47:37,51.5305,-0.1416,-56.63
27.03.2017, 10:47:39,51.5306,-0.1417,-54.45
27.03.2017, 10:47:42,51.5308,-0.1418,-52.86
27.03.2017, 10:47:45,51.5309,-0.1417,-54.06
27.03.2017, 10:47:47,51.531,-0.1418,-61.81
27.03.2017, 10:47:49,51.5311,-0.1418,-61.37
27.03.2017, 10:47:52,51.5312,-0.1419,-61.18
27.03.2017, 10:47:54,51.5313,-0.1419,-62.21
27.03.2017, 10:47:57,51.5314,-0.142,-63.98
27.03.2017, 10:47:58,51.5315,-0.142,-65.97
27.03.2017, 10:48:00,51.5316,-0.1421,-62.87
27.03.2017, 10:48:02,51.5317,-0.1421,-62.43
27.03.2017, 10:48:06,51.5319,-0.1421,-60.35
27.03.2017, 10:48:11,51.5321,-0.1422,-60.69
27.03.2017, 10:48:13,51.5322,-0.1423,-60.81
27.03.2017, 10:48:16,51.5322,-0.1424,-57.83
27.03.2017, 10:48:19,51.5323,-0.1426,-55.84
27.03.2017, 10:48:21,51.5324,-0.1427,-53.37
27.03.2017, 10:48:23,51.5325,-0.1428,-52.54
27.03.2017, 10:48:24,51.5326,-0.1429,-49.51
27.03.2017, 10:48:26,51.5326,-0.143,-48.09
27.03.2017, 10:48:28,51.5328,-0.1431,-49.19
27.03.2017, 10:48:30,51.5329,-0.1432,-47.85
27.03.2017, 10:48:33,51.533,-0.1433,-46.51
27.03.2017, 10:48:35,51.5331,-0.1434,-48.76
27.03.2017, 10:48:36,51.5332,-0.1434,-46.89
27.03.2017, 10:48:38,51.5333,-0.1435,-47.68
27.03.2017, 10:48:40,51.5334,-0.1436,-45.88
27.03.2017, 10:48:43,51.5335,-0.1436,-45.66
27.03.2017, 10:48:45,51.5336,-0.1437,-46.22
27.03.2017, 10:48:46,51.5337,-0.1437,-47.46
27.03.2017, 10:48:48,51.5338,-0.1438,-48.64
27.03.2017, 10:48:51,51.5339,-0.1438,-50.9
27.03.2017, 10:48:53,51.534,-0.1438,-52.76
27.03.2017, 10:48:56,51.5341,-0.1439,-51.16
27.03.2017, 10:48:59,51.5342,-0.1439,-55.49
27.03.2017, 10:49:01,51.5343,-0.1438,-60.09
27.03.2017, 10:49:03,51.5344,-0.1436,-60.92
27.03.2017, 10:49:04,51.5344,-0.1434,-59.62
27.03.2017, 10:49:07,51.5345,-0.1432,-61.35
