Breed,Test,Normal_AIC,Exponential_AIC,Uniform_AIC,Poisson_AIC,Binomial_AIC,Geometric_AIC
Border Collie,Normal,600.4874599881250000,622.9398159,603.3403259,883.3184022,Inf,626.5941321
Border Collie,Exponential,600.4874599881250000,622.9398159,603.3403259,883.3184022,Inf,626.5941321
Border Collie,Uniform,600.4874599881250000,622.9398159,603.3403259,883.3184022,Inf,626.5941321
Border Collie,Poisson,600.4874599881250000,622.9398159,603.3403259,883.3184022,Inf,626.5941321
Border Collie,Binomial,600.4874599881250000,622.9398159,603.3403259,883.3184022,Inf,626.5941321
Border Collie,Geometric,600.4874599881250000,622.9398159,603.3403259,883.3184022,Inf,626.5941321
Border Collie,BestFit,600.4874599881250000,622.9398159,603.3403259,883.3184022,Inf,626.5941321
Border Collie,AIC,600.4874599881250000,622.9398159,603.3403259,883.3184022,Inf,626.5941321
Border Collie,KSTests,600.4874599881250000,622.9398159,603.3403259,883.3184022,Inf,626.5941321
Border Collie,ShapiroTests,600.4874599881250000,622.9398159,603.3403259,883.3184022,Inf,626.5941321
Border Collie,ChiSquaredTests,600.4874599881250000,622.9398159,603.3403259,883.3184022,Inf,626.5941321
Greyhound,Normal,3919.8623547239900000,3939.210042,4221.174899,5690.366351,Inf,3969.240008
Greyhound,Exponential,3919.8623547239900000,3939.210042,4221.174899,5690.366351,Inf,3969.240008
Greyhound,Uniform,3919.8623547239900000,3939.210042,4221.174899,5690.366351,Inf,3969.240008
Greyhound,Poisson,3919.8623547239900000,3939.210042,4221.174899,5690.366351,Inf,3969.240008
Greyhound,Binomial,3919.8623547239900000,3939.210042,4221.174899,5690.366351,Inf,3969.240008
Greyhound,Geometric,3919.8623547239900000,3939.210042,4221.174899,5690.366351,Inf,3969.240008
Greyhound,BestFit,3919.8623547239900000,3939.210042,4221.174899,5690.366351,Inf,3969.240008
Greyhound,AIC,3919.8623547239900000,3939.210042,4221.174899,5690.366351,Inf,3969.240008
Greyhound,KSTests,3919.8623547239900000,3939.210042,4221.174899,5690.366351,Inf,3969.240008
Greyhound,ShapiroTests,3919.8623547239900000,3939.210042,4221.174899,5690.366351,Inf,3969.240008
Greyhound,ChiSquaredTests,3919.8623547239900000,3939.210042,4221.174899,5690.366351,Inf,3969.240008
Shih Tzu,Normal,175.6218599103110000,192.5798943,171.832363,203.4215706,Inf,193.7901482
Shih Tzu,Exponential,175.6218599103110000,192.5798943,171.832363,203.4215706,Inf,193.7901482
Shih Tzu,Uniform,175.6218599103110000,192.5798943,171.832363,203.4215706,Inf,193.7901482
Shih Tzu,Poisson,175.6218599103110000,192.5798943,171.832363,203.4215706,Inf,193.7901482
Shih Tzu,Binomial,175.6218599103110000,192.5798943,171.832363,203.4215706,Inf,193.7901482
Shih Tzu,Geometric,175.6218599103110000,192.5798943,171.832363,203.4215706,Inf,193.7901482
Shih Tzu,BestFit,175.6218599103110000,192.5798943,171.832363,203.4215706,Inf,193.7901482
Shih Tzu,AIC,175.6218599103110000,192.5798943,171.832363,203.4215706,Inf,193.7901482
Shih Tzu,KSTests,175.6218599103110000,192.5798943,171.832363,203.4215706,Inf,193.7901482
Shih Tzu,ShapiroTests,175.6218599103110000,192.5798943,171.832363,203.4215706,Inf,193.7901482
Shih Tzu,ChiSquaredTests,175.6218599103110000,192.5798943,171.832363,203.4215706,Inf,193.7901482
